taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
Mollusca,Gastropoda,Stylommatophora,Helicidae,Helicini,Caucasotachea,Caucasotachea vindobonensis
Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysomelini,Gastrophysa,Gastrophysa polygoni
Arthropoda,Insecta,Coleoptera,Cerambycidae,Lepturini,Pseudovadonia,Pseudovadonia livida
Arthropoda,Insecta,Diptera,Bombyliidae,Villini,Hemipenthes,Hemipenthes morio
Chordata,Aves,Passeriformes,Sturnidae,,Sturnus,Sturnus vulgaris
Arthropoda,Insecta,Diptera,Tipulidae,,Ctenophora,Ctenophora festiva
Arthropoda,Malacostraca,Isopoda,Armadillidiidae,,Armadillidium,Armadillidium vulgare
Arthropoda,Insecta,Lepidoptera,Nymphalidae,,Apatura,Apatura ilia
Arthropoda,Insecta,Orthoptera,Tettigoniidae,Pholidopterini,Pholidoptera,Pholidoptera griseoaptera
Chordata,Aves,Passeriformes,Corvidae,,Corvus,Corvus monedula
Arthropoda,Insecta,Lepidoptera,Pyralidae,Endotrichini,Endotricha,Endotricha flammealis
Chordata,Aves,Passeriformes,Muscicapidae,,Phoenicurus,Phoenicurus ochruros
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Harmonia,Harmonia axyridis
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Harmonia,Harmonia axyridis
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Harmonia,Harmonia axyridis
Arthropoda,Insecta,Diptera,Tephritidae,Carpomyini,Rhagoletis,Rhagoletis cerasi
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Harmonia,Harmonia axyridis
Mollusca,Gastropoda,Stylommatophora,Arionidae,,Arion,Arion vulgaris
Arthropoda,Insecta,Coleoptera,Chrysomelidae,Clytrini,Clytra,Clytra laeviuscula
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Coccinella,Coccinella magnifica
Arthropoda,Insecta,Coleoptera,Carabidae,Carabini,Carabus,Carabus glabratus
Arthropoda,Insecta,Hemiptera,Pentatomidae,Graphosomatini,Graphosoma,Graphosoma italicum
Arthropoda,Insecta,Odonata,Platycnemididae,,Platycnemis,Platycnemis pennipes
Arthropoda,Insecta,Diptera,Syrphidae,Syrphini,Episyrphus,Episyrphus balteatus
Arthropoda,Insecta,Coleoptera,Buprestidae,Chrysochroini,Chalcophora,Chalcophora mariana
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnini,Argynnis,Argynnis paphia
Mollusca,Gastropoda,Stylommatophora,Helicidae,Helicini,Caucasotachea,Caucasotachea vindobonensis
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Anomalini,Anomala,Anomala dubia
Mollusca,Gastropoda,Stylommatophora,Camaenidae,Bradybaenini,Fruticicola,Fruticicola fruticum
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalini,Polygonia,Polygonia c-album
Chordata,Mammalia,Eulipotyphla,Talpidae,Talpini,Talpa,Talpa europaea
Arthropoda,Insecta,Coleoptera,Curculionidae,Lixini,Lixus,Lixus iridis
Mollusca,Gastropoda,Stylommatophora,Succineidae,,Succinea,Succinea putris
Arthropoda,Insecta,Odonata,Libellulidae,,Sympetrum,Sympetrum sanguineum
Arthropoda,Insecta,Diptera,Calliphoridae,Luciliini,Lucilia,Lucilia sericata
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cetoniini,Cetonia,Cetonia aurata
Arthropoda,Insecta,Orthoptera,Tettigoniidae,Pholidopterini,Pholidoptera,Pholidoptera griseoaptera
Arthropoda,Insecta,Lepidoptera,Nymphalidae,,Apatura,Apatura ilia
Arthropoda,Insecta,Coleoptera,Cerambycidae,Lepturini,Paracorymbia,Paracorymbia maculicornis
Chordata,Aves,Passeriformes,Fringillidae,,Fringilla,Fringilla coelebs
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba livia
Arthropoda,Insecta,Lepidoptera,Noctuidae,,Deltote,Deltote bankiana
Arthropoda,Insecta,Hemiptera,Pentatomidae,Graphosomatini,Graphosoma,Graphosoma italicum
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrini,Aphantopus,Aphantopus hyperantus
Chordata,Aves,Gruiformes,Rallidae,,Gallinula,Gallinula chloropus
Chordata,Aves,Gruiformes,Rallidae,,Gallinula,Gallinula chloropus
Chordata,Aves,Anseriformes,Anatidae,,Anas,Anas platyrhynchos
Chordata,Aves,Passeriformes,Corvidae,,Pica,Pica pica
Mollusca,Gastropoda,Stylommatophora,Limacidae,,Limax,Limax maximus
Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Cladiini,Cladius,Cladius grandis
Chordata,Aves,Passeriformes,Corvidae,,Corvus,Corvus monedula
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatini,Celastrina,Celastrina argiolus
Arthropoda,Insecta,Coleoptera,Cerambycidae,Lepturini,Stenurella,Stenurella melanura
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Harmonia,Harmonia axyridis
Arthropoda,Insecta,Blattodea,Ectobiidae,,Ectobius,Ectobius sylvestris
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrini,Coenonympha,Coenonympha pamphilus
Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanini,Dorcus,Dorcus parallelipipedus
Chordata,Aves,Columbiformes,Columbidae,,Streptopelia,Streptopelia decaocto
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba palumbus
Chordata,Aves,Passeriformes,Corvidae,,Corvus,Corvus corax
Arthropoda,Insecta,Coleoptera,Chrysomelidae,Clytrini,Clytra,Clytra laeviuscula
Chordata,Aves,Passeriformes,Passeridae,,Passer,Passer domesticus
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba livia
Chordata,Reptilia,Squamata,Colubridae,,Natrix,Natrix natrix
Arthropoda,Insecta,Hymenoptera,Apidae,Bombini,Bombus,Bombus lapidarius
Chordata,Mammalia,Rodentia,Sciuridae,Sciurini,Sciurus,Sciurus vulgaris
Chordata,Aves,Columbiformes,Columbidae,,Streptopelia,Streptopelia decaocto
Chordata,Aves,Passeriformes,Corvidae,,Pica,Pica pica
Arthropoda,Insecta,Coleoptera,Chrysomelidae,Doryphorini,Chrysolina,Chrysolina fastuosa
Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Monachaini,Monacha,Monacha cartusiana
Chordata,Amphibia,Anura,Bufonidae,,Bufo,Bufo bufo
Mollusca,Gastropoda,Stylommatophora,Helicidae,Allognathini,Cepaea,Cepaea hortensis
Chordata,Aves,Passeriformes,Turdidae,,Turdus,Turdus merula
Chordata,Aves,Passeriformes,Turdidae,,Turdus,Turdus merula
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Hopliini,Hoplia,Hoplia parvula
Arthropoda,Insecta,Lepidoptera,Pieridae,Pierini,Pieris,Pieris napi
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrini,Pararge,Pararge aegeria
Arthropoda,Arachnida,Araneae,Araneidae,,Zilla,Zilla diodia
Arthropoda,Insecta,Hymenoptera,Formicidae,Formicini,Formica,Formica rufa
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrini,Melanargia,Melanargia galathea
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Coccinella,Coccinella septempunctata
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba palumbus
Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanini,Dorcus,Dorcus parallelipipedus
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Harmonia,Harmonia axyridis
Arthropoda,Insecta,Hemiptera,Pyrrhocoridae,,Pyrrhocoris,Pyrrhocoris apterus
Chordata,Mammalia,Rodentia,Sciuridae,Sciurini,Sciurus,Sciurus vulgaris
Chordata,Mammalia,Rodentia,Sciuridae,Sciurini,Sciurus,Sciurus vulgaris
Chordata,Aves,Passeriformes,Turdidae,,Turdus,Turdus merula
Chordata,Aves,Passeriformes,Turdidae,,Turdus,Turdus merula
Arthropoda,Insecta,Hymenoptera,Scoliidae,,Scolia,Scolia hirta
Arthropoda,Insecta,Hymenoptera,Apidae,Bombini,Bombus,Bombus lucorum
Chordata,Aves,Passeriformes,Hirundinidae,,Hirundo,Hirundo rustica
Arthropoda,Insecta,Lepidoptera,Hesperiidae,Hesperiini,Ochlodes,Ochlodes sylvanus
Arthropoda,Insecta,Hemiptera,Coreidae,Coreini,Coreus,Coreus marginatus
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrini,Aphantopus,Aphantopus hyperantus
Arthropoda,Arachnida,Araneae,Araneidae,,Zilla,Zilla diodia
Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thymelicini,Thymelicus,Thymelicus lineola
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaenini,Lycaena,Lycaena virgaureae
Arthropoda,Insecta,Coleoptera,Attelabidae,Apoderini,Apoderus,Apoderus coryli
Arthropoda,Insecta,Odonata,Calopterygidae,,Calopteryx,Calopteryx splendens
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalini,Aglais,Aglais io
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalini,Vanessa,Vanessa atalanta
Arthropoda,Insecta,Coleoptera,Cerambycidae,Lepturini,Rutpela,Rutpela maculata
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaenini,Lycaena,Lycaena virgaureae
Chordata,Aves,Passeriformes,Passeridae,,Passer,Passer montanus
Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanini,Lucanus,Lucanus cervus
Arthropoda,Insecta,Orthoptera,Tettigoniidae,Tettigoniini,Tettigonia,Tettigonia viridissima
Mollusca,Gastropoda,Stylommatophora,Limacidae,,Limax,Limax maximus
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalini,Aglais,Aglais io
Arthropoda,Malacostraca,Isopoda,Armadillidiidae,,Armadillidium,Armadillidium vulgare
Arthropoda,Insecta,Odonata,Calopterygidae,,Calopteryx,Calopteryx splendens
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalini,Araschnia,Araschnia levana
Chordata,Aves,Passeriformes,Motacillidae,,Anthus,Anthus trivialis
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalini,Vanessa,Vanessa cardui
Chordata,Aves,Passeriformes,Muscicapidae,,Phoenicurus,Phoenicurus ochruros
Arthropoda,Insecta,Lepidoptera,Papilionidae,Leptocircini,Iphiclides,Iphiclides podalirius
Arthropoda,Insecta,Lepidoptera,Pieridae,,Gonepteryx,Gonepteryx rhamni
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrini,Hipparchia,Hipparchia semele
Arthropoda,Insecta,Hemiptera,Miridae,Deraeocorini,Deraeocoris,Deraeocoris ruber
Arthropoda,Insecta,Lepidoptera,Noctuidae,Plusiini,Autographa,Autographa gamma
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatini,Polyommatus,Polyommatus icarus
Arthropoda,Insecta,Orthoptera,Tettigoniidae,Platycleidini,Bicolorana,Bicolorana bicolor
Chordata,Aves,Piciformes,Picidae,,Dendrocopos,Dendrocopos major
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Ceratomegilla,Ceratomegilla notata
Arthropoda,Insecta,Coleoptera,Chrysomelidae,Doryphorini,Leptinotarsa,Leptinotarsa decemlineata
Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharini,Rhagonycha,Rhagonycha fulva
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cetoniini,Oxythyrea,Oxythyrea funesta
Arthropoda,Insecta,Diptera,Syrphidae,Syrphini,Sphaerophoria,Sphaerophoria scripta
Arthropoda,Insecta,Hymenoptera,Sphecidae,Ammophilini,Ammophila,Ammophila sabulosa
Arthropoda,Insecta,Odonata,Libellulidae,,Sympetrum,Sympetrum sanguineum
Chordata,Amphibia,Anura,Ranidae,,Pelophylax,
Mollusca,Gastropoda,Architaenioglossa,Viviparidae,,Viviparus,Viviparus contectus
Chordata,Aves,Passeriformes,Motacillidae,,Motacilla,Motacilla alba
Arthropoda,Insecta,Lepidoptera,Crambidae,Crambini,Chrysoteuchia,Chrysoteuchia culmella
Arthropoda,Insecta,Orthoptera,Acrididae,Gomphocerini,Chorthippus,Chorthippus apricarius
Arthropoda,Insecta,Orthoptera,Tettigoniidae,Tettigoniini,Tettigonia,Tettigonia viridissima
Arthropoda,Insecta,Odonata,Libellulidae,,Orthetrum,Orthetrum cancellatum
Chordata,Aves,Gruiformes,Rallidae,,Fulica,Fulica atra
Arthropoda,Insecta,Hemiptera,Pyrrhocoridae,,Pyrrhocoris,Pyrrhocoris apterus
Arthropoda,Insecta,Hymenoptera,Apidae,Bombini,Bombus,Bombus hypnorum
Chordata,Aves,Passeriformes,Fringillidae,,Fringilla,Fringilla coelebs
Arthropoda,Insecta,Coleoptera,Geotrupidae,Geotrupini,Anoplotrupes,Anoplotrupes stercorosus
Arthropoda,Insecta,Hymenoptera,Apidae,Bombini,Bombus,Bombus lapidarius
Arthropoda,Insecta,Coleoptera,Cerambycidae,Clytini,Chlorophorus,Chlorophorus varius
Arthropoda,Insecta,Coleoptera,Carabidae,Cicindelini,Cicindela,Cicindela hybrida
Arthropoda,Insecta,Diptera,Asilidae,Philonicini,Philonicus,Philonicus albiceps
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaenini,Lycaena,Lycaena tityrus
Arthropoda,Insecta,Lepidoptera,Geometridae,Rhodometrini,Lythria,Lythria purpuraria
Arthropoda,Arachnida,Araneae,Araneidae,,Argiope,Argiope bruennichi
Chordata,Aves,Passeriformes,Corvidae,,Corvus,Corvus cornix
Chordata,Aves,Passeriformes,Passeridae,,Passer,Passer domesticus
Chordata,Aves,Passeriformes,Corvidae,,Corvus,Corvus cornix
Chordata,Aves,Passeriformes,Passeridae,,Passer,Passer montanus
Chordata,Aves,Charadriiformes,Laridae,,Chroicocephalus,Chroicocephalus ridibundus
Chordata,Aves,Passeriformes,Hirundinidae,,Hirundo,Hirundo rustica
Chordata,Aves,Passeriformes,Hirundinidae,,Hirundo,Hirundo rustica
Chordata,Aves,Charadriiformes,Laridae,,Chroicocephalus,Chroicocephalus ridibundus
Chordata,Aves,Charadriiformes,Laridae,,Chroicocephalus,Chroicocephalus ridibundus
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba palumbus
Chordata,Aves,Ciconiiformes,Ciconiidae,,Ciconia,Ciconia ciconia
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba palumbus
Chordata,Aves,Passeriformes,Corvidae,,Corvus,Corvus cornix
Arthropoda,Insecta,Hymenoptera,Vespidae,,Vespa,Vespa crabro
Arthropoda,Insecta,Hymenoptera,Vespidae,,Vespa,Vespa crabro
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba palumbus
Arthropoda,Insecta,Lepidoptera,Noctuidae,,Cucullia,Cucullia pustulata
Arthropoda,Insecta,Odonata,Libellulidae,,Sympetrum,Sympetrum sanguineum
Arthropoda,Insecta,Odonata,Coenagrionidae,,Ischnura,Ischnura elegans
Arthropoda,Insecta,Odonata,Coenagrionidae,,Ischnura,Ischnura elegans
Arthropoda,Insecta,Odonata,Platycnemididae,,Platycnemis,Platycnemis pennipes
Arthropoda,Insecta,Hemiptera,Coreidae,Coreini,Coreus,Coreus marginatus
Chordata,Aves,Anseriformes,Anatidae,,Anas,Anas platyrhynchos
Chordata,Aves,Columbiformes,Columbidae,,Streptopelia,Streptopelia decaocto
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Harmonia,Harmonia axyridis
Mollusca,Gastropoda,Stylommatophora,Helicidae,Helicini,Caucasotachea,Caucasotachea vindobonensis
Arthropoda,Insecta,Coleoptera,Chrysomelidae,Doryphorini,Leptinotarsa,Leptinotarsa decemlineata
Arthropoda,Insecta,Orthoptera,Tettigoniidae,Meconematini,Meconema,Meconema thalassinum
Mollusca,Gastropoda,Stylommatophora,Limacidae,,Limacus,
Mollusca,Gastropoda,Stylommatophora,Helicidae,Helicini,Helix,Helix pomatia
Chordata,Aves,Passeriformes,Sturnidae,,Sturnus,Sturnus vulgaris
Arthropoda,Insecta,Diptera,Tipulidae,,Dictenidia,Dictenidia bimaculata
Chordata,Mammalia,Rodentia,Muridae,Rattini,Rattus,Rattus norvegicus
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellini,Harmonia,Harmonia axyridis
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Cetoniini,Cetonia,Cetonia aurata
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalini,Nymphalis,Nymphalis xanthomelas
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba livia
Arthropoda,Insecta,Orthoptera,Acrididae,Stenobothrini,Stenobothrus,Stenobothrus lineatus
Arthropoda,Insecta,Orthoptera,Tettigoniidae,Decticini,Decticus,Decticus verrucivorus
Arthropoda,Arachnida,Araneae,Thomisidae,,Misumena,Misumena vatia
Mollusca,Gastropoda,,Lymnaeidae,,Lymnaea,Lymnaea stagnalis
Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysomelini,Gastrophysa,Gastrophysa polygoni
Arthropoda,Insecta,Odonata,Coenagrionidae,,Ischnura,Ischnura elegans
Chordata,Aves,Passeriformes,Corvidae,,Garrulus,Garrulus glandarius
Chordata,Reptilia,Squamata,Colubridae,,Natrix,Natrix natrix
Chordata,Aves,Passeriformes,Corvidae,,Corvus,Corvus frugilegus
Mollusca,Gastropoda,Architaenioglossa,Viviparidae,,Viviparus,Viviparus viviparus
Mollusca,Gastropoda,Stylommatophora,Agriolimacidae,,,
Mollusca,Gastropoda,Stylommatophora,Helicidae,Helicini,Caucasotachea,Caucasotachea vindobonensis
Chordata,Aves,Anseriformes,Anatidae,,Anas,Anas platyrhynchos
Chordata,Aves,Charadriiformes,Laridae,,Chroicocephalus,Chroicocephalus ridibundus
Chordata,Aves,Charadriiformes,Laridae,,Chroicocephalus,Chroicocephalus ridibundus
Mollusca,Gastropoda,Stylommatophora,Arionidae,,Arion,Arion vulgaris
Arthropoda,Insecta,Hemiptera,Coreidae,Coreini,Coreus,Coreus marginatus
Chordata,Reptilia,Squamata,Colubridae,,Coronella,Coronella austriaca
Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,,Placobdella,Placobdella costata
Chordata,Aves,Anseriformes,Anatidae,,Mareca,Mareca strepera
Arthropoda,Insecta,Coleoptera,Coccinellidae,Halyziini,Psyllobora,Psyllobora vigintiduopunctata
Mollusca,Gastropoda,Stylommatophora,Arionidae,,Arion,Arion vulgaris
Arthropoda,Malacostraca,Isopoda,Armadillidiidae,,Armadillidium,Armadillidium vulgare
Mollusca,Gastropoda,Stylommatophora,Helicidae,Helicini,Helix,Helix pomatia
Arthropoda,Insecta,Hemiptera,Pentatomidae,Pentatomini,Rhaphigaster,Rhaphigaster nebulosa
Arthropoda,Insecta,Coleoptera,Carabidae,Carabini,Carabus,Carabus violaceus
Arthropoda,Arachnida,Opiliones,Phalangiidae,,Phalangium,Phalangium opilio
Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalini,Aglais,Aglais io
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Sericini,Maladera,Maladera holosericea
Chordata,Aves,Columbiformes,Columbidae,,Columba,Columba palumbus
Arthropoda,Chilopoda,Scutigeromorpha,Scutigeridae,,Scutigera,Scutigera coleoptrata
Arthropoda,Arachnida,Araneae,Araneidae,,Larinioides,Larinioides ixobolus
Arthropoda,Insecta,Lepidoptera,Crambidae,Margaroniini,Cydalima,Cydalima perspectalis
